1	6 
2	13 
3	16 
4	8 
5	14 
6	3 
7	1 
8	2 
9	1 
10	13 
11	14 
12	2 
13	10 
14	17 
15	8 
16	9 
17	10 
18	13 
19	3 
20	13 
21	2 
22	14 
23	13 
24	8 
25	16 
26	17 
27	17 
28	3 
29	12 
30	1 
31	6 
32	3 
33	13 
34	15 
35	1 
36	14 
37	5 
38	6 
39	3 
40	10 
41	7 
42	6 
43	2 
44	4 
45	11 
46	17 
47	3 
48	11 
49	7 
50	12 
51	17 
52	7 
53	5 
54	3 
55	8 
56	2 
57	5 
58	7 
59	1 
60	11 
61	8 
62	16 
63	2 
64	8 
65	6 
66	11 
67	3 
68	9 
69	10 
70	3 
71	12 
72	9 
73	4 
74	8 
75	12 
76	16 
77	3 
78	13 
79	10 
80	7 
81	6 
82	6 
83	10 
84	14 
85	9 
86	5 
87	3 
88	6 
89	17 
90	3 
91	8 
92	3 
93	7 
94	2 
95	8 
96	14 
97	7 
98	12 
99	10 
100	8 
101	14 
102	13 
103	7 
104	9 
105	15 
106	15 
107	14 
108	7 
109	14 
110	16 
111	10 
112	4 
113	4 
114	11 
115	11 
116	10 
117	11 
118	14 
119	12 
120	3 
121	8 
122	13 
123	4 
124	12 
125	7 
126	4 
127	5 
128	9 
129	13 
130	6 
131	11 
132	11 
133	1 
134	17 
135	10 
136	14 
137	5 
138	5 
139	9 
140	6 
141	6 
142	3 
143	13 
144	7 
145	7 
146	16 
147	1 
148	9 
149	16 
150	4 
151	9 
152	9 
153	11 
154	5 
155	5 
156	9 
157	2 
158	3 
159	1 
160	17 
161	11 
162	3 
163	10 
164	15 
165	11 
166	5 
167	4 
168	7 
169	1 
170	14 
171	14 
172	11 
173	14 
174	15 
175	12 
176	6 
177	11 
178	11 
179	12 
180	12 
181	10 
182	2 
183	9 
184	16 
185	5 
186	7 
187	16 
188	2 
189	5 
190	16 
191	2 
192	7 
193	5 
194	3 
195	6 
196	3 
197	16 
198	1 
199	9 
200	2 
201	1 
202	17 
203	3 
204	17 
205	14 
206	12 
207	2 
208	5 
209	6 
210	1 
211	15 
212	3 
213	16 
214	2 
215	7 
216	5 
217	13 
218	14 
219	14 
220	15 
221	1 
222	4 
223	12 
224	1 
225	13 
226	9 
227	15 
228	16 
229	3 
230	3 
231	16 
232	14 
233	15 
234	14 
235	6 
236	15 
237	2 
238	15 
239	14 
240	3 
241	5 
242	9 
243	5 
244	3 
245	3 
246	11 
247	13 
248	12 
249	11 
250	2 
251	4 
252	9 
253	5 
254	2 
255	17 
256	6 
257	11 
258	17 
259	3 
260	7 
261	17 
262	11 
263	7 
264	3 
265	4 
266	14 
267	15 
268	17 
269	14 
270	15 
271	3 
272	16 
273	5 
274	12 
275	14 
276	13 
277	15 
278	3 
279	13 
280	4 
281	15 
282	7 
283	15 
284	4 
285	12 
286	5 
287	4 
288	12 
289	6 
290	6 
291	14 
292	4 
293	14 
294	14 
295	4 
296	7 
297	14 
298	17 
299	4 
300	4 
301	12 
302	17 
303	12 
304	2 
305	7 
306	7 
307	11 
308	17 
309	14 
310	7 
311	5 
312	12 
313	13 
314	5 
315	5 
316	5 
317	11 
318	4 
319	5 
320	14 
321	15 
322	11 
323	7 
324	5 
325	2 
326	7 
327	13 
328	17 
329	11 
330	12 
331	6 
332	7 
333	6 
334	4 
335	3 
336	14 
337	5 
338	3 
339	11 
340	17 
341	11 
342	6 
343	5 
344	11 
345	13 
346	15 
347	3 
348	15 
349	4 
350	3 
351	17 
352	5 
353	3 
354	11 
355	4 
356	17 
357	14 
358	14 
359	3 
360	6 
361	6 
362	17 
363	5 
364	15 
365	5 
366	2 
367	15 
368	15 
369	17 
370	5 
371	11 
372	11 
373	7 
374	6 
375	4 
376	3 
377	11 
378	5 
379	5 
380	14 
381	2 
382	3 
383	14 
384	17 
385	2 
386	5 
387	14 
388	4 
389	3 
390	3 
391	2 
392	3 
393	2 
394	14 
395	14 
396	17 
397	3 
398	3 
399	7 
400	5 
401	3 
402	2 
403	7 
404	4 
405	5 
406	4 
407	5 
408	4 
409	11 
410	5 
411	11 
412	11 
413	14 
414	5 
415	17 
416	7 
417	5 
418	6 
419	14 
420	17 
421	6 
422	14 
423	7 
424	4 
425	5 
426	17 
427	3 
428	17 
429	14 
430	7 
431	4 
432	7 
433	5 
434	4 
435	17 
436	3 
437	7 
438	5 
439	3 
440	5 
441	11 
442	17 
443	5 
444	17 
445	4 
446	17 
447	3 
448	3 
449	5 
450	17 
451	5 
452	11 
453	14 
454	7 
455	11 
456	7 
457	5 
458	3 
459	5 
460	17 
461	5 
462	11 
463	5 
464	17 
465	14 
466	5 
467	17 
468	3 
469	11 
470	7 
471	14 
472	3 
473	7 
474	3 
475	11 
476	3 
477	3 
478	3 
479	3 
480	7 
481	11 
482	11 
483	5 
484	14 
485	14 
486	14 
487	7 
488	3 
489	3 
490	3 
491	3 
492	5 
493	5 
494	3 
495	14 
496	5 
497	3 
498	3 
499	14 
500	3 
